neuron_idx,interpretation,top_example_1,top_example_2,top_example_3,importance
8,,"I need a python function to get some information about football players that participated in the last couple of matches. Can you write a function that can find out how well each footballer did given their mustache or beard style during their match?The signature of the function is: def get_player_stats(team_roster, facial_hair)","I want the agent to write a python function that will calculate some performance indicators for a baseball player in a team, such as Batting Average, On-Base Percentage, and Slugging Percentage, given some parameters like the number of hits, at bats, and walks for a specific game, and assuming the player's career stats are known.The signature of the function is: def get_player_performance(team_stats, player_name, games_played, hits, at_bats)","Can you write a Python function to help an NBA team's management pick the best player from a list of available players, considering their height, weight, position, and the team's existing players?The signature of the function is: def get_best_player_pick(available_players, existing_players, preferred_position)",0.026380798
38,,"I want the agent to write a python function that takes various health-related inputs and outputs a risk profile for men, indicating the likelihood of developing certain diseases such as heart disease, prostate cancer, and diabetes.The signature of the function is: def get_risk_profile(age, race, family_history, diet, lifestyle)","I'd like the agent to write a Python function that can assess the risk of sudden cardiac death in young people based on their age, family history of cardiac problems, and symptoms such as chest pain. The function should take these factors into account and return a risk level of 'High', 'Moderate', or 'Low'.The signature of the function is: def assess_cardiac_risk(age, family_history, symptoms)","I want to write a Python function to determine the risk of thoracic aorta dissection, but I'm not sure what factors to consider. Can you help me create a function to calculate this risk?The signature of the function is: def calculate_dissection_risk(age, systolic_bp)",0.12560226
42,,"I need a python function to look up music artist info such as their home town and preferred genre. Can you help write one?The signature of the function is: def get_top_artist_info(artist_name, artists)","I need you write a python function to find a specific artist song based on some song information. I have a bunch of songs info and I just want to know if a particular artist has any Christmas song in my list. But could you also clarify how I could list Christmas songs from a specific artist? Something like a function but I have no idea what parameters are really needed for this function.The signature of the function is: def is_artist_christmas_song(artist_name, song_title, songs_info)","I'm looking for an LLM agent's help to write a Python function that can match movie/TV titles with their composers. For example, I want to pass a list of movie titles and get back the names of their composers. Can the agent write a function to do this?The signature of the function is: def get_composer(movie_title)",0.052916326
34,,"Hey, can you write a Python function that calculates the performance of employees based on their monthly statistics? I have a list of lists where each inner list contains the monthly stats of an employee, and another list with the names of the employees. The function should return a dictionary with the employee names and their average performance.The signature of the function is: def get_employee_performance(employee_monthly_stats, employee_names) I don't know what exactly is in `employee_monthly_stats`. The average should be a simple mean of the monthly values.","I want you to write a python function to help our company's HR department identify gift ideas for our employees based on their monthly performance. The HR team provides the performance metrics as a list of percentages and the names of the employees. I also have some pre-defined gift ideas for high and average performers. Can you help me come up with a function that takes this information and provides personalized gift suggestions for each employee?The signature of the function is: def suggest_gift_ideas(employee_monthly_stats, employee_names, performance_threshold, gift_ideas)","I need you to write a Python function that determines whether an employee's performance is satisfactory or not. I've heard that millennials respond well to positive feedback and work-life balance, so maybe we can consider those factors. But I'm not sure how to define 'satisfactory' - you're the expert, can you help me figure this out?The signature of the function is: def calculate_performance(employee_data, performance_threshold=0.7)",0.04697977
5,,"I want the agent to write a python function that takes in a log message and removes certain redundant information, like in the Xcodebuild setenv messages. The function should return the filtered log message. But I'm not sure how to specify what makes a message redundant, can we discuss?The signature of the function is: def filter_log_messages(log_message, keywords_to_filter)","I need a python function to clear or update a specific line in a multiline string, can you help me with that?The signature of the function is: def manipulate_multiline_text(text, action, line_number, new_text=None)",I want a Python function that can detect and filter out certain words or expressions from a piece of text that might be considered impolite in Cuban culture. Create a function to do this.The signature of the function is: def filter_profanity(text),0.026680268
2,,"Hi, can you write a python function that can reconstruct the original requesting URL from the given HttpServletRequest object? I have the URI, scheme, server name, server port, context path, servlet path, path info, and query string. I just want to combine them into a URL.The signature of the function is: def reconstruct_url(scheme, server_name, server_port, context_path, servlet_path, path_info, query_string) I don't know. Can you help me with these questions?","I am trying to use Breeze/WebAPI to query a database but I need help formatting a date string to match the format of a Nullable<DateTimeOffset> field. I want you to write a python function that takes a date string as input and returns a URL encoded date string that I can use in my query.The signature of the function is: def format_date_string(date_string, date_format=""%Y-%m-%dT%H","Can you write a Python function that takes a URL as input and outputs the normalized URL? Sometimes users type in the URL with 'www' and sometimes without, can the function handle both cases? What if I want to enforce a specific preference for 'www' or no 'www'?The signature of the function is: def normalize_url(url, prefer_www=False, remove_www_if_exists=False)",0.026904969
4,,"I need you to write a python function to calculate the average movie rating from 1 to 5 based on the web reviews. The function should take into account the total number of positive ratings and negative ratings and return a numerical value.The signature of the function is: def calculate_average_movie_rating(positive_ratings, negative_ratings)",I want you to write a python function that can calculate the average rating of game reviews from a list of reviews. Each review can have multiple ratings. Can you do that?The signature of the function is: def calculate_average_rating(reviews),"I want you to write a python function that can take a movie review as input and output whether the review is positive, negative, or mixed. The function should be able to handle reviews that are not clearly positive or negative.The signature of the function is: def classify_review(review_text)",0.04387831
12,,"Write a python function to determine a character's relationship status in the play Outside Mullingar based on their age, the duration of their grudge, and whether they've realized their desires for another character. The function should classify the character as 'Romantically involved', 'In stunted emotional development', or 'Unknown'The signature of the function is: def character_attributes(age, grudge_duration, has_realized_desire)","Write a Python function that takes a biblical verse (Romans 7:19) and determines whether Paul is referring to his past or present state. The function should consider different theological perspectives and contextual analysis.The signature of the function is: def analyze_romans_7(context, verse, perspective)","I want you to write a Python function that determines whether a romantic relationship will succeed based on the amount of 'soppiness' and commitment of each partner. I'm not entirely sure what I mean by 'soppiness', but I think it's a combination of how romantic and emotional someone is. Can you figure it out and write a function that takes in the necessary inputs and outputs the likelihood of success?The signature of the function is: def predict_relationship_success(partner1_soppiness, partner2_soppiness, partner1_commitment, partner2_commitment)",0.020671723
26,,"I want you to write a python function that can analyze comments from users and determine how many positive and negative comments there are. However, I don't know how to approach this. Can you help me? I just want a function that can give me the number of positive and negative comments. Can you make it work with a list of comments as input?The signature of the function is: def analyze_sentiment(comments)","I want you to write a Python function to analyze anonymous user comments. I want to see the sentiment of these comments, e.g., positive, negative, or neutral. Also, can you give me some stats on how many comments fall under each category? The function should take a list of comments and some keywords to look out for to determine sentiment.The signature of the function is: def analyze_comments(comments, keywords)","I want you to write a Python function that can analyze user comments and determine their sentiment, but I'm not sure what threshold to use to differentiate between positive and negative comments. Can you figure out the details and write the function?The signature of the function is: def analyze_sentiment(comments, threshold)",0.017081942
25,,I need a python function that can take a bunch of scores from a test and give me the average score of all test takers. Can you write that for me?The signature of the function is: def calculate_average_score(scores),Can you write a python function for me to calculate the average score? I want to be able to find the average of any set of scores...The signature of the function is: def calculate_average_score(scores),"I have an agriculture-related data set with lists of farm areas and I need a Python function to derive some statistics. Specifically, I need an average measurement. Can you write me a function to compute the average farm size for different historical crop-based farming lists.The signature of the function is: def average_farm_size(farm_acres)",0.07325157
27,,"Write a python function for me to decide which HTC smartphone model is better based on certain specifications.The signature of the function is: def compare_phone_specs(phone1, phone2, specs)","I want you to write a Python function that can compare the specs of the Oppo Find 5 with other phones. I need to determine which phone has the better specs in terms of processor speed, display resolution, and battery capacity.The signature of the function is: def compare_phones(find5_specs, other_phone_specs)",I need a Python function to compare the sensor resolutions of different cameras and identify the one with the highest resolution. It should be able to handle a list of camera objects with their respective resolutions and names. Can you help me write a function that can do that?The signature of the function is: def compare_camera_resolution(cameras),0.027014617
